,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
18896,Dacia,Duster,2010,SUV,127001,1500,Diesel,1,7300
18897,Hyundai,Tucson,2007,SUV,2000,2000,Petrol,1,5300
18899,Toyota,Avensis,2007,Sedan,215000,1998,Diesel,1,4000
18900,Mercedes,S Class,2013,Sedan,1,2200,Diesel,2,15999
18901,Ford,Focus,2016,Universal,195000,1500,Diesel,1,7200
18903,Skoda,Fabia,2010,Universal,181000,1200,Diesel,1,5000
18904,Vaz,2109,1999,Hatchback,1,1500,Petrol,1,2000
18905,Mercedes,E Class,2002,Sedan,358000,2200,Diesel,2,3450
18906,Volkswagen,Caddy,1999,Minivan,285000,1900,Diesel,1,3000
18907,KIA,Venga,2010,Hatchback,121750,1599,Petrol,2,6250
18909,Mitsubishi,Galant,2003,Sedan,143000,2000,Petrol,1,4200
18910,Opel,Astra,2012,Hatchback,200000,1400,Petrol,1,5800
18913,Volvo,XC60,2014,SUV,84000,2000,Petrol,2,16500
18914,Audi,100,1994,Universal,1,2000,Metan/Propan,1,1800
18915,Toyota,Corolla Verso,2005,Universal,350000,2000,Diesel,1,3600
18917,Ford,Fusion,2013,Sedan,90000,1600,Petrol,2,9899
18918,BMW,2 Series,2015,Hatchback,18300,1500,Diesel,1,12999
18919,Skoda,Octavia,2009,Universal,265141,1798,Petrol,2,6300
18920,Mercedes,M Class,2001,SUV,250000,2700,Diesel,2,4200
18921,Volkswagen,Scirocco,2010,Coupe,200000,1390,Petrol,1,6550
18922,Mercedes,E Class,2015,Sedan,320000,2000,Metan/Propan,2,14500
18924,Ford,Transit Connect,2003,Minivan,280000,1800,Diesel,1,3200
18925,Toyota,Auris,2010,Hatchback,170000,1400,Diesel,1,6800
18926,Toyota,Auris,2015,Universal,110000,1364,Diesel,1,9300
18927,Mercedes,C Class,2004,Hatchback,5,2200,Diesel,1,4900
18930,Citroen,C4,2008,Hatchback,112000,1997,Petrol,2,3900
18933,Ford,Sierra,1990,Sedan,18000,1800,Metan/Propan,1,950
18934,Renault,Kadjar,2016,SUV,180000,1500,Diesel,2,12999
18935,BMW,3 Series,2005,Sedan,168000,1800,Petrol,1,6500
18937,Opel,Astra,2000,Universal,38242,1400,Metan/Propan,1,1800
18938,Vaz,2121niva,1989,SUV,168966,1600,Petrol,1,2650
18940,Skoda,Superb,2016,Sedan,96000,2000,Diesel,2,22200
18941,Subaru,XV,2015,Crossover,60000,2000,Hybrid,2,12500
18942,Volkswagen,Golf,2011,Hatchback,137000,1400,Petrol,1,6000
18943,Mercedes,C Class,1994,Sedan,320580,1800,Petrol,1,2450
18944,Mercedes,M Class,2003,Crossover,356000,2700,Diesel,2,8050
18945,Opel,Astra,1994,Hatchback,123,1600,Petrol,1,550
18946,Opel,Meriva,2011,Hatchback,210000,1300,Diesel,1,4900
18947,Volkswagen,Passat,1992,Sedan,300000,1800,Petrol,1,1700
18948,Opel,Zafira,2006,Minivan,220225,1900,Diesel,1,4600
18949,Opel,Zafira,2014,Minivan,189568,1396,Metan/Propan,2,9500
18950,Citroen,C3,2006,Hatchback,270000,1400,Diesel,1,2400
18952,Suzuki,Baleno,1999,Universal,11111,1600,Metan/Propan,1,1500
18953,Audi,A6,2016,Sedan,16000,2000,Petrol,2,13900
18954,KIA,Ceed,2006,Hatchback,260000,1500,Diesel,1,4200
18955,Volkswagen,Passat,1999,Universal,315000,1800,Metan/Propan,1,2850
18956,Volkswagen,Passat,1999,Sedan,20000,1800,Petrol,1,2800
18958,Mercedes,E Class,2009,Sedan,200000,2200,Diesel,2,8000
18959,Mercedes,E Class,2015,Sedan,3000,1998,Metan/Propan,2,14900
18960,Volkswagen,Jetta,2018,Sedan,90000,1400,Petrol,2,11500
18961,BMW,5 Series,1990,Sedan,111,1800,Petrol,1,550
18962,Audi,A1,2011,Hatchback,180000,1400,Petrol,2,11500
18963,Toyota,Corolla,2005,Hatchback,283000,1400,Diesel,2,5550
18964,Nissan,Primastar,2004,Universal,300000,1900,Diesel,1,2450
18965,Honda,Accord,1997,Sedan,353352,1800,Petrol,1,2000
18966,Opel,Omega,1996,Universal,311000,2000,Petrol,1,1050
18967,Skoda,Superb,2012,Sedan,171000,1800,Petrol,2,9800
18968,Dacia,Logan Mcv,2015,Universal,149000,1500,Diesel,1,6400
18969,Skoda,Fabia,2012,Universal,153000,1200,Diesel,1,5700
18970,Opel,Zafira,2013,Minivan,169543,2000,Diesel,1,10200
18972,Hyundai,Matrix,2005,Sedan,102355,1500,Diesel,1,3200
18974,Renault,Grand Scenic,2015,Minivan,123000,1500,Diesel,1,4500
18977,Audi,A4,1999,Sedan,187000,1900,Diesel,1,1500
18978,Honda,Jazz,2014,Hatchback,40000,1339,Hybrid,2,4599
18979,Ford,Fiesta,2014,Hatchback,40000,1400,Diesel,2,3450
18983,Volvo,S60,2001,Sedan,270000,2400,Petrol,1,1600
18984,Honda,CR-V,2010,Crossover,189566,2000,Petrol,2,10970
18985,Nissan,Primera,1996,Sedan,302000,2000,Metan/Propan,1,2000
18986,Dacia,Sandero Stepway,2017,Crossover,62000,898,Petrol,1,6799
18987,KIA,Picanto,2013,Hatchback,118000,1000,Petrol,1,4500
18988,Nissan,Serena,1992,Minivan,381300,1600,Petrol,1,1800
18990,Renault,Grand Scenic,2015,Minivan,200000,1500,Diesel,1,7250
18991,BMW,5 Series,2014,Sedan,217000,2000,Diesel,2,17002
18992,Volvo,XC60,2016,SUV,166000,2400,Diesel,2,20909
18993,Suzuki,S-Cross,2013,Hatchback,130000,1586,Petrol,2,7500
18994,BMW,5 Series,2008,Sedan,260000,2000,Diesel,1,8150
18996,Zaz,1102 Tavria,1993,SUV,50000,1100,Petrol,1,800
18997,Volkswagen,Passat,2019,Sedan,63000,2000,Petrol,2,15000
18998,Nissan,Qashqai,2008,Minivan,200000,1500,Diesel,1,6300
18999,Seat,Alhambra,1999,Minivan,251000,2000,Metan/Propan,1,3600
19000,Rover,200 Series,1999,Hatchback,180000,1400,Petrol,1,1600
19001,KIA,Niro,2017,Crossover,157000,1600,Hybrid,2,14990
19003,Honda,CR-V,2010,Crossover,189400,2200,Diesel,2,13800
19004,Renault,Scenic,2006,Hatchback,260000,1598,Petrol,1,2800
19005,Vaz,2106,1989,Sedan,8000,1300,Petrol,1,800
19006,Dacia,Sandero,2010,Hatchback,115000,1400,Metan/Propan,1,3400
19008,Toyota,Rav 4,2013,SUV,175000,2200,Diesel,1,16000
19009,Seat,Alhambra,1997,Minivan,1234,2000,Metan/Propan,1,3000
19011,Audi,A4,2006,Sedan,1,2000,Diesel,2,5000
19012,Mercedes,E Class,2007,Sedan,356000,2200,Diesel,1,8900
19013,Renault,Megane,2010,Universal,220000,1500,Diesel,1,5000
19014,Ford,Ka,2009,Hatchback,130000,1200,Petrol,1,3200
19016,Lexus,CT Series,2013,Hatchback,151000,1800,Hybrid,2,11200
19017,Mazda,6,2003,Universal,280968,2000,Diesel,1,3800
19018,Mazda,CX-5,2012,Crossover,138000,2191,Diesel,2,9900
19019,Nissan,Qashqai,2018,SUV,108700,1500,Diesel,1,15999
19020,Volkswagen,Caravelle,2008,Minivan,242500,2459,Diesel,1,9150
19021,Audi,A6,2002,Sedan,250000,2500,Diesel,2,3600
19022,Chevrolet,Kalos,2005,Hatchback,340000,1200,Metan/Propan,1,1250
19023,Renault,Grand Scenic,2015,Minivan,173000,1500,Diesel,2,9200
19024,Mercedes,E Class,2001,Coupe,350080,2000,Metan/Propan,2,3850
19025,Skoda,Octavia,2007,Hatchback,236000,1896,Diesel,2,5800
19026,Skoda,Favorit,1994,Hatchback,20000,1300,Petrol,1,300
19028,Opel,Astra,2007,Coupe,300000,1300,Diesel,1,3999
19029,Opel,Astra,2005,Sedan,19999,1600,Petrol,2,3800
19030,Nissan,Maxima,1999,Sedan,555,2000,Metan/Propan,1,2500
19031,Audi,A6,1998,Universal,300000,2500,Diesel,1,2650
19032,Skoda,Fabia,2012,Hatchback,190000,1200,Petrol,1,4099
19033,BMW,3 Series,2015,Sedan,78000,2000,Petrol,2,13700
19035,Honda,Accord,1993,Universal,240000,2200,Metan/Propan,1,950
19036,Volkswagen,Passat,2004,Universal,300000,1900,Diesel,1,2100
19037,Toyota,Avensis Verso,2005,Minivan,200000,2000,Diesel,1,1500
19038,BMW,5 Series,2004,Universal,333000,2500,Diesel,2,4000
19041,Renault,Kangoo,2008,Universal,247000,1500,Diesel,1,3400
19042,Renault,Scenic,2004,Universal,289000,1500,Diesel,1,3500
19043,Renault,Clio,2006,Sedan,259864,1200,Petrol,1,2300
19044,Peugeot,307,2006,Universal,184000,1400,Petrol,1,2200
19045,Ford,Fiesta 3D,2005,Hatchback,125000,1300,Petrol,1,1700
19046,Seat,Ibiza,2011,Sedan,183000,1200,Diesel,1,4400
19047,Hyundai,Elantra,2015,Sedan,126000,1600,Petrol,2,6900
19048,Nissan,Qashqai,2015,SUV,120000,1500,Diesel,1,8200
19050,Toyota,Avensis Verso,2005,Minivan,212950,2000,Diesel,1,4299
19051,Honda,CR-V,2013,Crossover,170000,1600,Diesel,1,12500
19052,Volvo,900 Series,1993,Sedan,286000,2000,Petrol,1,1500
19053,Mitsubishi,Outlander,2005,Crossover,180,2000,Metan/Propan,1,5300
19054,Nissan,Almera Tino,2002,Minivan,217000,1800,Petrol,1,2500
19057,Peugeot,Partner,2005,Minivan,189984,1400,Metan/Propan,1,2300
19058,Volkswagen,Touran,2011,Minivan,151000,1400,Metan/Propan,2,7200
19059,Opel,Astra,2005,Hatchback,182800,1300,Diesel,1,4200
19060,Nissan,Qashqai,2012,Crossover,138000,1500,Diesel,1,8500
19062,Opel,Astra,2008,Universal,240000,1300,Diesel,1,4300
19064,Mercedes,GLK Class,2012,Crossover,224000,2500,Diesel,2,17600
19065,Toyota,Rav 4,2010,Crossover,105000,2500,Metan/Propan,2,9300
19066,Dacia,Logan,2007,Minivan,400000,1400,Metan/Propan,1,3400
19067,Nissan,Qashqai,2016,Crossover,155000,1500,Diesel,1,12250
19069,Volkswagen,Jetta,2012,Sedan,221000,1400,Hybrid,2,9300
19070,Skoda,Superb,2014,Sedan,166000,2000,Diesel,1,12299
19071,Toyota,Aygo,2006,Hatchback,110675,998,Petrol,2,3750
19072,Volkswagen,Passat,2000,Sedan,11111,2500,Diesel,1,3700
19073,Hyundai,Tucson,2006,Crossover,272121,2000,Metan/Propan,1,5650
19077,Volkswagen,Transporter,2008,Minivan,242500,2459,Diesel,1,9150
19078,Mercedes,Vito,2016,Microvan,130256,1600,Diesel,1,15000
19080,Renault,Grand Scenic,2013,Minivan,175200,1500,Diesel,1,6700
19081,BMW,5 Series,2000,SUV,200000,2000,Diesel,2,3000
19082,Audi,Allroad,2002,Universal,323000,2500,Diesel,2,3000
19083,Peugeot,306,1997,Hatchback,280000,1600,Petrol,1,1600
19084,Ford,Mondeo,2010,Sedan,176000,1600,Metan/Propan,1,6000
19085,Mercedes,E Class,2012,Sedan,250000,2200,Diesel,2,14500
19086,Renault,Talisman,2016,Universal,140000,1500,Diesel,2,12900
19087,Toyota,Prius,2016,Sedan,137000,1800,Hybrid,2,12700
19088,Audi,A4,2010,Universal,228900,2000,Petrol,2,10850
19089,Skoda,Fabia,2011,Universal,173000,1200,Diesel,1,5400
19090,Volkswagen,Caravelle,2003,Minivan,350000,2500,Diesel,1,7400
19091,Toyota,Prius,2011,Hatchback,402000,1800,Petrol,2,7500
19093,Honda,Stream,2002,Minivan,280000,1700,Petrol,1,950
19095,Skoda,Superb,2016,Sedan,177000,2000,Diesel,2,17800
19096,Volkswagen,Jetta,2008,Sedan,200000,1600,Petrol,2,5200
19097,Skoda,Superb,2011,Universal,152000,1800,Petrol,1,8900
19098,Dacia,Sandero,2015,Hatchback,118000,1200,Petrol,1,5500
19099,Volkswagen,Caddy,2005,Combi,290000,1600,Metan/Propan,1,4100
19100,Opel,Astra,2004,Universal,10,1300,Petrol,1,3000
19101,Nissan,Qashqai,2012,Crossover,135000,1500,Diesel,1,8500
19102,Volkswagen,Passat,2006,Universal,256352,2000,Diesel,2,3500
19103,Skoda,Fabia,2011,Hatchback,156300,1200,Petrol,1,4600
19104,Renault,Megane,2010,Universal,204500,1461,Diesel,2,6700
19105,Volkswagen,Tiguan,2010,Sedan,162000,1400,Petrol,1,8800
19106,Opel,Astra,1993,Sedan,222222,1600,Petrol,1,1000
19107,BMW,5 Series,2006,Universal,330000,2500,Diesel,2,8600
19108,Nissan,Serena,1993,Minivan,280000,2000,Metan/Propan,1,1700
19109,Ford,Galaxy,2002,Microvan,281632,1900,Diesel,2,4250
19110,Toyota,Auris,2013,Sedan,96476,1400,Diesel,1,8750
19111,Skoda,Octavia,2014,Sedan,247152,2000,Diesel,1,11950
19112,Citroen,C3,2012,Hatchback,195162,1400,Diesel,1,5450
19113,Hyundai,Matrix,2005,Minivan,264752,1500,Diesel,1,3450
19114,Volkswagen,Passat,2013,Universal,191325,2013,Metan/Propan,2,7650
19116,Volkswagen,Passat,2009,Universal,267000,1400,Metan/Propan,2,6650
19117,Opel,Zafira,2002,Universal,300000,1600,Petrol,1,2700
19118,Nissan,Maxima,1995,Sedan,357000,2000,Metan/Propan,2,2650
19119,BMW,3 Series,2016,Sedan,90000,1999,Diesel,2,14999
19120,Mercedes,Series (W124),1994,Coupe,1,2200,Metan/Propan,2,4000
19121,Honda,Civic,2008,Sedan,210300,1300,Hybrid,2,5500
19123,Mitsubishi,Colt,2004,Hatchback,192000,1499,Petrol,1,3000
19125,Citroen,C4,2006,Coupe,252222,2000,Petrol,1,2900
19126,Lexus,CT Series,2015,Hatchback,181000,1800,Hybrid,2,12300
19127,Volkswagen,Passat,1994,Universal,167000,2000,Petrol,1,1200
19129,Honda,CR-V,2018,Crossover,55000,1500,Petrol,2,19500
19131,Honda,CR-V,2018,Crossover,65000,1500,Petrol,2,16999
19132,Lexus,IS Series,2014,Sedan,135000,2468,Hybrid,2,17800
19133,Hyundai,Lantra,1993,Sedan,10000,1800,Metan/Propan,1,15000
19134,KIA,Sephia,1999,Sedan,200000,1500,Petrol,1,1100
19135,Toyota,Avalon,2015,Sedan,165500,2500,Hybrid,2,15499
19136,Toyota,Prius,2011,Hatchback,209000,1800,Hybrid,2,6599
19137,Daewoo,Matiz,2003,Hatchback,290000,800,Petrol,1,900
19138,Toyota,Prius,2011,Hatchback,180500,1800,Hybrid,2,6899
19139,Volvo,XC60,2009,SUV,273000,2500,Diesel,2,13500
19140,Skoda,Superb,2010,Universal,190120,1400,Petrol,1,7900
19141,Volkswagen,Golf,2003,Hatchback,320000,1900,Diesel,1,1600
19142,Honda,Accord,2002,Hatchback,297000,1850,Metan/Propan,1,3000
19143,Mitsubishi,Space Wagon,1993,Minivan,340000,2000,Diesel,1,2000
19145,Audi,100,1993,Universal,180000,2000,Metan/Propan,1,2000
19146,Skoda,Octavia,2019,Universal,15100,1600,Petrol,1,15700
19147,Subaru,Trezia,2012,Sedan,193000,1300,Petrol,1,5200
19149,Skoda,Rapid,2017,Sedan,217534,1422,Diesel,1,7699
19150,Chevrolet,Captiva,2008,Universal,29000,2000,Diesel,1,8200
19152,Volkswagen,Golf,2013,Hatchback,117000,1400,Petrol,1,9200
19153,Mercedes,E Class,2002,Sedan,302000,2200,Diesel,1,3300
19154,Land Rover,Discovery,2006,Universal,296000,2720,Diesel,2,14400
19155,Renault,Fluence,2016,Sedan,151000,1500,Diesel,1,7000
19156,Opel,Zafira,2000,Minivan,258000,2000,Diesel,1,1300
19158,Skoda,Octavia,2012,Sedan,120000,1400,Petrol,1,11999
19161,BMW,5 Series,1999,Sedan,300000,2000,Petrol,1,2650
19162,Toyota,Yaris,2007,Hatchback,180000,1400,Diesel,2,4500
19165,Toyota,Prius,2012,Coupe,190000,1800,Hybrid,2,8300
19166,Volkswagen,Transporter,2001,Minivan,1111,1900,Diesel,1,3800
19167,Audi,A5,2015,Sedan,167160,2000,Diesel,2,18900
19168,Audi,A6,2006,Sedan,228700,2000,Diesel,1,8850
19169,Volkswagen,Passat,2011,Sedan,202222,1400,Petrol,2,10000
19170,Mercedes,B Class,2006,Hatchback,178000,1500,Metan/Propan,2,5900
19171,Peugeot,307,2009,Universal,203000,1400,Petrol,1,4111
19172,Renault,Megane,2013,Universal,157000,1500,Diesel,1,6500
19173,Daewoo,Matiz,2010,Hatchback,11111,800,Petrol,1,1300
19174,Chrysler,Grand Voyager,1996,Minivan,40000,2500,Diesel,1,3300
19177,Toyota,Auris,2010,Hatchback,227000,1400,Petrol,1,5500
19178,Ford,Fiesta,2009,Universal,0,1400,Diesel,2,3500
19179,Mitsubishi,Outlander,2008,SUV,0,2000,Diesel,1,7300
19180,Mazda,CX-7,2008,Universal,0,2200,Petrol,1,5950
19181,Volkswagen,Touareg,2008,Sedan,0,2400,Diesel,1,7400
19183,Toyota,Yaris,2008,Hatchback,0,1400,Diesel,1,3200
19184,Skoda,Rapid,2016,Hatchback,37000,1600,Petrol,2,9999
19185,Toyota,Verso,2015,Minivan,140132,1800,Petrol,1,11850
19186,Renault,Clio,2002,Sedan,155556,1400,Petrol,1,2200
19187,Toyota,Verso-S,2012,Minivan,164879,1400,Diesel,1,6900
19188,Mitsubishi,Grandis,2008,Minivan,290000,2400,Petrol,1,7000
19189,Renault,Grand Scenic,2013,Minivan,217000,1461,Diesel,1,6400
19190,Vaz,2110,2002,Sedan,200,1500,Petrol,1,1200
19191,BMW,3 Series,2004,Coupe,190000,1900,Petrol,1,2200
19192,Hyundai,i20,2012,Hatchback,127000,1300,Metan/Propan,1,5350
19193,Mitsubishi,Colt,2009,Hatchback,177000,1300,Petrol,2,4250
19194,Skoda,Fabia,2016,Minivan,112000,1400,Diesel,1,6999
19195,Skoda,Superb,2018,Universal,160000,2000,Diesel,2,22000
19196,Mercedes,E Class,2002,Sedan,372000,2200,Diesel,1,5250
19198,Skoda,Fabia,2008,Universal,195500,1422,Diesel,1,5350
19199,Vaz,2121niva,1995,Hatchback,111111,1700,Metan/Propan,1,1550
19200,Mercedes,E Class,2010,Sedan,257000,2143,Diesel,2,12800
19201,Volkswagen,Passat,2012,Universal,268000,1600,Diesel,1,8600
19202,Renault,Clio,2016,Universal,210000,1500,Diesel,1,6150
19203,BMW,5 Series,2015,Sedan,220000,2000,Diesel,2,20000
19204,Mitsubishi,Space Wagon,1994,Minivan,382140,2000,Metan/Propan,1,2000
19205,Vaz,2108,1996,Hatchback,87000,1500,Petrol,1,350
19206,Vaz,21099,1999,Sedan,95000,1500,Petrol,1,1100
19207,Toyota,Auris,2009,Hatchback,181000,1400,Diesel,1,5888
19208,Mazda,626,1989,Hatchback,234567,2000,Petrol,1,750
19209,Hyundai,Santa FE,2004,SUV,227000,2000,Metan/Propan,1,4700
19210,Mercedes,C Class,2016,Universal,215000,2143,Diesel,2,21000
19212,Ford,Fusion,2014,Sedan,70700,2000,Hybrid,2,14999
19213,Mercedes,Series (W124),1992,Sedan,280000,2300,Metan/Propan,1,1800
19214,Renault,Grand Scenic,2006,Minivan,240000,1500,Diesel,1,3500
19215,Citroen,C3,2012,Hatchback,99500,1400,Diesel,1,5500
19216,Volkswagen,Golf,2002,Hatchback,1,1600,Metan/Propan,2,3590
19217,BMW,3 Series,1995,Universal,8545,1800,Petrol,1,1650
19219,Opel,Astra,1997,Hatchback,250000,1400,Metan/Propan,1,950
19220,Skoda,Fabia,2003,Universal,1,1400,Metan/Propan,1,2500
19221,Toyota,Avensis,2013,Universal,180000,2000,Diesel,2,9000
19222,Volvo,XC90,2012,SUV,180000,2400,Diesel,2,14000
19223,Opel,Astra,2012,Hatchback,202000,1248,Diesel,1,5800
19224,Toyota,Hilux,2015,Pickup,70000,2700,Metan/Propan,1,18000
19225,BMW,5 Series,2005,Universal,184000,2500,Diesel,2,5999
19228,Volkswagen,Caddy,2011,Universal,136000,1600,Diesel,1,4200
19229,Suzuki,Swift,2005,Hatchback,1,1500,Petrol,1,2000
19230,Toyota,Rav 4,2013,Crossover,78000,2200,Diesel,2,11500
19231,Skoda,Roomster,2010,Universal,59000,1400,Diesel,1,3100
19232,Nissan,Micra,2008,Hatchback,1,1200,Petrol,2,2550
19233,Toyota,Corolla,2013,Sedan,45000,1400,Diesel,1,6100
19234,Volkswagen,Golf,1998,Universal,185000,1900,Diesel,1,850
19235,Mitsubishi,Lancer,2006,Universal,1,1600,Petrol,1,2000
19236,Skoda,Octavia,2000,Universal,1,1800,Petrol,1,1500
19237,Volkswagen,Transporter,2004,Minivan,300000,2461,Diesel,1,5900
19238,Honda,CR-V,2014,Crossover,45000,2200,Diesel,2,10500
19239,Volkswagen,Caddy,2010,Minivan,165000,2000,Metan/Propan,1,3150
19240,Volkswagen,Golf,2013,Hatchback,89000,1200,Petrol,2,5900
19241,Volkswagen,Passat,2002,Universal,187000,1900,Diesel,1,2550
19242,Rover,600 Series,1997,Sedan,125600,2000,Petrol,1,950
19243,Mercedes,E Class,2006,Universal,0,2200,Diesel,1,4200
19244,BMW,3 Series,2005,Sedan,190000,2000,Diesel,2,3950
19245,Mercedes,E Class,2017,Sedan,9000,1950,Diesel,2,19599
19246,Toyota,Corolla,2010,Sedan,120000,1400,Diesel,1,5250
19247,Mercedes,E Class,2005,Sedan,240000,2200,Diesel,2,2950
19248,Dacia,Duster,2019,SUV,25000,1500,Diesel,1,8500
19249,Toyota,Avensis,1998,Universal,315000,2000,Metan/Propan,1,2800
19251,Mazda,626,1992,Hatchback,389034,2000,Petrol,1,1250
19252,Renault,Kangoo,2003,Universal,1,1400,Metan/Propan,1,2650
19255,Toyota,Avensis Verso,2003,Minivan,120000,2000,Diesel,1,3700
19256,Honda,CR-V,2015,Crossover,85500,2000,Petrol,2,11500
19257,BMW,5 Series,2008,Sedan,132000,2500,Diesel,2,6300
19258,Toyota,Yaris,2018,Hatchback,108000,1500,Hybrid,2,7200
19259,Citroen,Berlingo,2010,Universal,135000,1600,Diesel,1,3100
19260,Honda,CR-V,2001,SUV,135000,2000,Petrol,2,2550
19261,Toyota,Avensis,2014,Universal,123000,1800,Petrol,1,6200
19262,Honda,Accord,2019,Sedan,21000,1500,Petrol,2,19000
19263,Volkswagen,Tiguan,2014,Crossover,25000,2000,Diesel,1,9200
19264,Hyundai,ix35,2012,Crossover,58000,2000,Petrol,2,7200
19265,Hyundai,Elantra,2017,Sedan,23000,1600,Petrol,2,7300
19266,Hyundai,Tucson,2008,SUV,158000,2000,Diesel,2,4200
19267,Toyota,Venza,2011,Universal,1,2700,Petrol,2,8700
19268,Nissan,Almera Tino,2004,Microvan,0,1600,Petrol,1,1700
19269,Volkswagen,Sharan,2011,Minivan,123000,1400,Petrol,1,6700
19270,Mitsubishi,Colt,2009,Hatchback,45000,1300,Petrol,2,3100
19271,Toyota,Camry,2016,Sedan,56000,2500,Hybrid,2,9900
19272,Renault,Scenic,2001,Universal,285000,1900,Diesel,1,1350
19273,Audi,A4,2017,Universal,178000,1400,Petrol,1,17700
19274,Dacia,Duster,2012,SUV,142133,1500,Diesel,1,6999
19275,Renault,Megane,2011,Universal,177182,1500,Diesel,1,5499
19276,BMW,5 Series,2011,Sedan,82000,2000,Petrol,2,13200
19277,Toyota,Avensis,2001,Sedan,136000,1800,Petrol,1,1700
19278,Audi,A3,2011,Universal,132500,1400,Petrol,2,4550
19279,Suzuki,Liana,2006,Universal,125000,1400,Diesel,1,1600
19280,Renault,Grand Espace,2005,Minivan,132000,2000,Petrol,2,2900
19281,Toyota,Avensis Verso,2005,Minivan,235000,2000,Diesel,1,4200
19282,Mazda,Premacy,2004,Universal,136000,2000,Petrol,1,2100
19283,Fiat,Doblo,2008,Universal,180000,1300,Diesel,1,2200
19284,Honda,Insight,2012,Hatchback,125000,1400,Hybrid,2,4250
19285,Fiat,500,2013,Hatchback,45000,1400,Petrol,2,3900
19286,Opel,Astra,2012,Universal,135000,1300,Diesel,1,3600
19287,Volkswagen,Transporter,2000,Minivan,289000,2500,Diesel,1,6950
19288,Mazda,3,2007,Hatchback,156000,1600,Petrol,2,3300
19289,Chery,Tiggo,2006,Crossover,112000,2400,Petrol,1,1600
19290,Mitsubishi,Outlander,2007,Crossover,123000,2400,Petrol,2,3350
19291,Renault,City K-ZE,2019,Hatchback,10000,1000,Electric,2,7500
19292,Nissan,X-Trail,2002,Universal,240000,2000,Metan/Propan,2,4200
19293,Nissan,X-Trail,2006,Crossover,174000,2500,Metan/Propan,2,6500
19296,BMW,3 GT,2014,Sedan,55000,2000,Petrol,2,16000
19298,Toyota,Land Cruiser Prado,2011,SUV,155000,2700,Metan/Propan,2,19850
19299,Toyota,Auris,2014,Universal,138000,1800,Hybrid,2,10500
19300,Audi,A6,2000,Universal,400000,2500,Diesel,1,3900
19301,Hyundai,i30,2013,Hatchback,139000,1400,Diesel,1,7500
19302,Audi,A4,1997,Sedan,267892,1800,Petrol,1,2300
19303,Toyota,Avensis,2005,Universal,257000,2000,Diesel,1,4800
19304,Dacia,Dokker,2014,Minivan,287921,1600,Metan/Propan,1,7000
19305,Audi,A6,2001,Sedan,52,2500,Diesel,1,1200
19306,Nissan,Sunny,1992,Universal,200000,1600,Petrol,1,10000
19307,BMW,5 Series,2015,Sedan,99850,1997,Petrol,2,20999
19308,Chrysler,Voyager,2000,Minivan,360000,2500,Diesel,1,1000
19309,Dacia,Logan Mcv,2008,Minivan,235000,1500,Diesel,1,4200
19310,BMW,3 Series,2002,Sedan,245000,1989,Petrol,1,4200
19311,Volkswagen,Golf,1996,Universal,360000,1900,Diesel,1,2350
19312,Dacia,Sandero,2011,Hatchback,152300,1200,Petrol,1,3900
19314,Renault,Scenic,2016,Minivan,168740,1500,Diesel,1,8600
19315,Toyota,Avensis,2005,Universal,187000,2000,Petrol,2,6200
19316,Nissan,Qashqai,2016,Crossover,173000,1500,Diesel,1,14450
19317,Renault,Grand Scenic,2014,Universal,185000,1500,Diesel,1,8700
19318,BMW,3 Series,2006,Sedan,250000,2500,Diesel,2,5000
19319,Nissan,Qashqai,2015,Crossover,167000,1500,Diesel,1,13200
19320,Nissan,Qashqai,2016,Crossover,126000,1500,Diesel,1,14400
19321,Nissan,Qashqai,2016,Crossover,191000,1200,Petrol,2,12900
19322,Nissan,Qashqai,2016,Crossover,142000,1500,Diesel,1,13500
19323,Audi,A4,1996,Sedan,287000,1600,Petrol,1,2000
19325,Mitsubishi,Outlander,2009,SUV,207000,2000,Petrol,2,5900
19326,Mitsubishi,Outlander,2009,SUV,207000,2000,Petrol,1,5900
19327,Skoda,Fabia,2011,Universal,168500,1200,Diesel,1,4850
19328,Renault,Megane,2011,Sedan,230000,1500,Diesel,1,5500
19329,Opel,Corsa,2012,Hatchback,144600,1300,Diesel,1,5150
19330,Mercedes,C Class,2003,Sedan,200000,1800,Metan/Propan,1,4300
19332,Hyundai,Sonata,2012,Sedan,96000,2000,Petrol,2,6000
19333,Mazda,3,2006,Sedan,167000,2000,Petrol,2,5700
19334,Opel,Zafira,2004,Minivan,211684,2200,Diesel,1,3250
19335,Byd,F6,2008,Sedan,130000,2000,Metan/Propan,1,4200
19336,Nissan,Primera,1994,Universal,311000,1600,Petrol,1,1350
19337,Land Rover,Freelander,2009,Crossover,156000,2200,Diesel,2,10500
19338,Mazda,323,2000,Universal,3,2000,Diesel,1,2200
19339,Hyundai,i30,2013,Universal,190000,1400,Diesel,1,6850
19340,Volkswagen,Polo,2006,Hatchback,228000,1400,Diesel,1,4000
19341,Dacia,Duster,2015,Crossover,155000,1500,Diesel,1,8600
19342,Opel,Combo,2004,Minivan,1,1300,Diesel,1,2500
19343,Renault,Scenic,2010,Minivan,160000,1500,Diesel,1,5399
19345,Toyota,Rav 4,2008,SUV,215000,2200,Diesel,1,8500
19346,Infiniti,Altele,2016,Sedan,38500,1999,Petrol,2,18200
