,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
136,Skoda,Superb,2004,Sedan,1,1800,Petrol,1,3600
137,Mercedes,Vito,2003,Microvan,1,2200,Diesel,1,4600
139,Volkswagen,Passat,2007,Universal,320000,1600,Metan/Propan,1,5999
140,Hyundai,Matrix,2006,Hatchback,298000,1500,Diesel,1,2999
141,Honda,Civic,2017,Hatchback,27138,1500,Petrol,2,13300
142,BMW,5 Series,2006,Sedan,1,2500,Petrol,2,6350
143,Renault,Kadjar,2016,Crossover,140000,1500,Diesel,2,12400
144,Skoda,Octavia,2012,Sedan,166000,1600,Diesel,2,8990
145,Volkswagen,Golf,2000,Hatchback,1,1400,Petrol,1,2750
146,Skoda,Superb,2009,Sedan,223000,2000,Diesel,2,8990
147,Toyota,Corolla,2006,Universal,198563,1400,Diesel,2,5350
149,Land Rover,Freelander,2000,SUV,230000,2000,Diesel,1,2750
151,Volkswagen,Passat,1995,Universal,250369,1800,Petrol,1,2700
152,KIA,Magentis,2005,Sedan,250632,2000,Metan/Propan,1,2690
153,Seat,Inca,1998,Combi,300000,1900,Diesel,1,1450
154,Skoda,Fabia,2012,Minivan,165500,1200,Diesel,1,5100
155,Skoda,Octavia,2010,Hatchback,1,1390,Petrol,1,6099
156,Mitsubishi,Outlander,2011,SUV,248000,2000,Petrol,2,9900
157,Ford,Focus,2016,Universal,170000,1499,Diesel,1,8890
158,Renault,Megane,2008,Universal,245000,1500,Diesel,1,3600
159,Honda,Civic,1999,Universal,290000,1500,Petrol,1,1800
161,Toyota,Avensis,2004,Sedan,300,2000,Petrol,1,5000
162,Renault,Clio Symbol,2007,Sedan,211000,1400,Petrol,1,2900
163,Audi,A4,2012,Sedan,166700,2000,Petrol,2,10200
164,Audi,A3 e-tron,2016,Hatchback,145000,1400,Electric,2,16450
165,Lexus,CT Series,2014,Sedan,81700,1800,Hybrid,2,12450
166,Toyota,Auris,2013,Universal,142865,1400,Diesel,1,8700
167,Vaz,2107,2007,Sedan,135865,1400,Petrol,1,1500
168,Renault,Grand Scenic,2013,Minivan,181000,1500,Diesel,2,7000
169,Skoda,Octavia,2014,Universal,155000,1400,Petrol,2,9700
170,Skoda,Octavia,2015,Sedan,164000,1600,Diesel,2,12750
171,Volkswagen,Scirocco,2010,Coupe,150589,1400,Petrol,1,7999
172,Ford,Focus,2015,Universal,152523,1500,Diesel,2,9300
173,Opel,Astra,2007,Universal,190000,1300,Diesel,1,4499
174,Toyota,Avensis,2014,Universal,165000,2000,Diesel,1,15600
176,Toyota,Auris,2011,Hatchback,182251,1798,Hybrid,2,8200
177,Fiat,Grande Punto,2008,Hatchback,185000,1300,Diesel,2,3600
178,Chevrolet,Aveo,2012,Hatchback,187000,1300,Diesel,1,4600
179,Renault,Megane,2005,Sedan,190000,1500,Diesel,1,3200
181,Suzuki,Grand Vitara,2005,SUV,400000,2700,Petrol,2,5500
