Mark_0,Mark_1,Mark_2,Mark_3,Mark_4,Mark_5,Mark_6,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Year,Type_0,Type_1,Type_2,Type_3,Distance,Engine_capacity_cm3,Fuel_type_0,Fuel_type_1,Fuel_type_2,Transmission,Price(euro)
0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,2000,0,1,0,0,230000,2000,0,1,0,1,2750
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1995,0,0,1,0,250369,1800,0,1,1,1,2700
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2005,0,1,0,1,250632,2000,1,0,0,1,2690
0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1998,1,0,1,0,300000,1900,0,1,0,1,1450
0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2012,0,1,1,1,165500,1200,0,1,0,1,5100
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2010,0,0,0,1,1,1390,0,1,1,1,6099
0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,2011,0,1,0,0,248000,2000,0,1,1,2,9900
0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2016,0,0,1,0,170000,1499,0,1,0,1,8890
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2008,0,0,1,0,245000,1500,0,1,0,1,3600
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1999,0,0,1,0,290000,1500,0,1,1,1,1800
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2004,0,1,0,1,300,2000,0,1,1,1,5000
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2007,0,1,0,1,211000,1400,0,1,1,1,2900
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2012,0,1,0,1,166700,2000,0,1,1,2,10200
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2016,0,0,0,1,145000,1400,1,1,0,2,16450
0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,2014,0,1,0,1,81700,1800,0,0,1,2,12450
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2013,0,0,1,0,142865,1400,0,1,0,1,8700
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2007,0,1,0,1,135865,1400,0,1,1,1,1500
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,0,1,1,1,181000,1500,0,1,0,2,7000
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2014,0,0,1,0,155000,1400,0,1,1,2,9700
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2015,0,1,0,1,164000,1600,0,1,0,2,12750
0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,2010,1,0,0,0,150589,1400,0,1,1,1,7999
0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2015,0,0,1,0,152523,1500,0,1,0,2,9300
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007,0,0,1,0,190000,1300,0,1,0,1,4499
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2014,0,0,1,0,165000,2000,0,1,0,1,15600
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2011,0,0,0,1,182251,1798,0,0,1,2,8200
0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2008,0,0,0,1,185000,1300,0,1,0,2,3600
0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,2012,0,0,0,1,187000,1300,0,1,0,1,4600
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2005,0,1,0,1,190000,1500,0,1,0,1,3200
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2005,0,1,0,0,400000,2700,0,1,1,2,5500
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2010,0,0,0,1,225550,2000,0,1,1,2,9650
0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2003,0,0,0,1,220000,1400,0,1,1,1,2000
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2003,0,0,0,1,90000,1500,0,1,1,1,1000
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,0,1,1,1,165000,1500,0,1,0,1,7500
0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,2018,0,0,0,1,36000,1500,1,0,1,2,18499
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2015,0,1,1,1,102000,1800,0,1,1,2,12500
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2004,0,1,0,1,2899,2500,0,1,1,1,6100
0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,2003,0,1,1,0,208367,2000,0,1,1,1,4600
0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,2011,0,1,1,1,168000,1400,0,1,1,1,7999
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2019,0,0,0,1,2500,1800,1,0,1,2,18999
0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,2017,0,1,1,0,0,2200,0,1,0,2,21490
0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,2004,0,0,1,1,190000,1896,0,1,0,1,6300
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2011,0,0,1,0,210000,1400,0,1,1,1,6400
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2014,0,1,0,1,160000,2000,0,0,1,2,12200
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2004,0,0,1,0,180000,1500,0,1,0,1,3300
0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,2007,0,1,1,0,202000,2700,1,0,0,2,14600
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2017,0,0,0,1,170000,1422,0,1,0,1,8200
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2005,0,0,0,1,252,1400,0,1,0,1,4600
0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,2013,0,1,0,1,198000,1400,0,0,1,2,8400
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2004,0,0,1,0,183454,1300,0,1,1,1,2500
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2006,0,0,0,1,119000,1600,0,1,1,2,5700
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2007,0,0,0,1,283000,1300,0,1,0,1,3499
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2017,0,0,0,1,146000,1800,0,0,1,2,11900
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2015,0,1,1,0,202000,1990,0,1,1,1,7100
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2016,0,0,1,1,141000,1500,0,1,0,1,9000
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2013,0,1,1,1,220000,1500,0,1,0,1,5000
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2008,0,0,0,1,232012,1500,0,1,0,1,3700
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2014,0,1,1,0,219000,1500,0,1,0,1,10999
0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,2007,0,1,0,0,300000,2200,0,1,0,2,9200
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,0,0,0,1,121000,1800,0,0,1,2,7900
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2004,0,0,1,0,250000,1500,0,1,0,1,4000
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2014,0,0,1,0,200000,1390,0,1,0,1,8600
0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2013,0,1,0,0,143000,2000,0,1,1,2,17850
0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,2013,0,0,1,0,174000,2000,0,1,0,1,9650
0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2013,0,1,0,0,143000,2000,0,1,1,2,17850
0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,2013,0,0,1,0,174000,2000,0,1,0,1,9650
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2009,0,0,1,0,200000,1400,0,1,1,1,4800
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2007,0,1,1,0,137660,1500,0,1,0,1,6600
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2011,0,0,1,0,213548,1300,0,1,0,1,5650
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,2006,0,1,0,1,193096,1500,0,1,1,1,3700
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1992,1,0,0,0,400000,2000,1,0,0,1,1600
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2016,0,1,1,0,150425,1500,0,1,0,2,14990
0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2018,0,1,0,1,105000,2000,0,0,1,2,15000
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2000,1,0,1,0,191000,1800,1,0,0,2,3850
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1998,0,0,0,1,129448,1600,0,1,1,2,2399
0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,2015,0,1,1,1,168000,1600,0,1,0,2,18650
0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1994,0,1,0,1,180000,1600,0,1,1,1,2400
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,0,0,0,1,0,1800,0,0,1,2,12350
0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,2015,0,1,1,0,150000,1400,0,1,1,2,11000
0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,2007,0,1,0,0,223000,2700,0,1,0,2,15000
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,2011,0,0,1,0,141000,1400,0,1,1,1,9800
0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,2013,0,0,1,0,0,1500,0,1,0,1,7490
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2006,0,1,0,1,250000,1922,0,1,0,2,4600
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2006,0,1,0,1,250000,2200,0,1,0,2,9999
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2011,0,0,1,0,176000,1300,0,1,0,1,6000
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2008,0,0,1,0,275,2000,0,1,1,2,7999
